name,type,location
"880 IT Services, LLC",Unknown,Santa Cruz
Kalani Electronics,electronics,Funchal
Restaurante Trigal,restaurant,Funchal
Café Fortaleza - Coffee and Snacks,cafe,Funchal
Gentleman1415,hairdresser,Funchal
Sunshine Pub & Grill,restaurant,Fajã Da Ovelha
Ameu.gosto - Natural Wines & Food,wine,Funchal
Afonso Camacho - Construction Materials,hardware,Funchal
The Vanscape Gastrobar,restaurant,Funchal
Coolzoone Madeira - Health and Wellness Center,clinic,Funchal
Nomade Restaurante,restaurant,Funchal
Challenge Fantasy - Eurocopy,stationery,Funchal
Queijaria da Avó - Açores Cheese Shop,cheese,Funchal
Sugar's Monkey,Unknown,Santa Cruz
Restaurante Central Grill - Steakhouse,restaurant,Funchal
Archipelago Investments,Unknown,Funchal
Manta - Agência de Comunicação,Unknown,Funchal
Robert Mauser,electronics,Funchal
An Island Apart - Holiday Rentals,Unknown,Funchal
Luxury Charter Madeira - Private Yacht Rental,Unknown,Unknown
Design Centre Nini Andrade Silva - Bar Restaurant,restaurant,Funchal
Loja Coral Funchal - Flagship Store,pub,Funchal
Farmácia Luso-Britânica - Pharmacy,pharmacy,Funchal
Hatha Yoga,Unknown,Funchal
AM PM - Wine & Coffee Shop,cafe,Funchal
IPRO Clinic - Dental Clinic,dentist,Funchal
Mais Clinic - Medical Clinic,clinic,Funchal
EPIC Madeira,travel_agency,Funchal
Tranvía Food,restaurant,Funchal
O Maltez - Food & Drinks,bar,Funchal
O Laranjinha - Bistro & Grill,restaurant,Canico
Farmácia Popular - Pharmacy,pharmacy,Câmara De Lobos
Farmácia Lobos Mar - Pharmacy,pharmacy,Câmara De Lobos
Traços Formosos - Construction Company,Unknown,Santa Cruz
Bitcoin ATM - Buy BTC (Mind The Coin),atm,Funchal
Atlantic Restaurant,restaurant,Funchal
Full experience,Unknown,Funchal
Chafariz Farma - Pharmacy,pharmacy,Funchal
Afonso Camacho - Construction Materials,hardware,Caniço
Le Bistrot Jacarandá - Restaurant,restaurant,Funchal
Joker - Cafe & Pub,bar,Funchal
Theo’s by Chef Júlio Pereira,cafe,Funchal
Palheiro Golf,Unknown,Funchal
Kalani Electronics,electronics,Funchal
Unilateral Lda - Electronic Technology,trade,Caniço
Sicaprep Lda - Electrical and Telecommunications,electrical,Caniço
Salsa Madeira - Dance Classes,Unknown,Funchal
Hospedaria Pôr do Sol – Bed & Breakfast,Unknown,Funchal
MCS - Madeira Corporate Services,Unknown,Funchal
Resolve Já - Specialized Interior Cleaning,Unknown,Funchal
Let's Buggy - Off Road Adventures ATVs & Side by Side,travel_agency,Calheta
Casa Velha Do Palheiro - Relais & Châteaux,Unknown,São Gonçalo
Taxi - Ricardo Vieira,taxi,Funchal
Loft Brunch & Cocktails [na.zona velha],restaurant,Funchal
Loft Brunch & Cocktails [na.praça],restaurant,Funchal
A Confeitaria Coffee & Bakery [nos.barreiros],bakery,Funchal
A Confeitaria Coffee & Bakery [nas.madalenas],bakery,Funchal
Hit The Road Madeira,travel_agency,Funchal
Xarambinha Pizzeria Expresso,restaurant,Funchal
Blaiken Beach Bar,restaurant,Madalena Do Mar
A Confeitaria Bakery & Coffee [na.travessa],bakery,Funchal
Quiksilver,clothes,Funchal
A Confeitaria Coffee & Bakery [no.mercado],bakery,Funchal
Farmacia Confiança - Pharmacy,pharmacy,Funchal
